fid,obj_type,info,damage_gra,event_time,country,filename,txt,act_id,interpret,settl_type,subtype,functional,road_type,simplified,objectid,length,area,area_ha,emsr_id,fwi,wui_label
1,12 Non-residential Buildings,1211 Hotel buildings,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,,,,,,
2,12 Non-residential Buildings,123 Wholesale and retail trade buildings,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,,,,,,
3,12 Non-residential Buildings,"1241 Communication buildings, stations, terminals and associated buildings",No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,,,,,,
4,12 Non-residential Buildings,1242 Garage buildings,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,,,,,,
5,12 Non-residential Buildings,1251 Industrial buildings,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,,,,,,
6,12 Non-residential Buildings,"1263 School, university and research buildings",No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,,,,,,
7,12 Non-residential Buildings,1264 Hospital or institutional care buildings,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,,,,,,
8,12 Non-residential Buildings,1272 Buildings used as places of worship and for religious activities,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,,,,,,
9,12 Non-residential Buildings,1274 Other buildings not elsewhere classified,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,,,,,,
10,11 Residential Buildings,997 Not Applicable,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,,,,,,
11,12 Non-residential Buildings,1274 Other buildings not elsewhere classified,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,,,,,,
12,11 Residential Buildings,997 Not Applicable,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,,,,,,
13,213 Airfield,21312 Helipad,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,,0.139556094,,,,
14,"215 Harbours, waterways, dams and other waterworks",21510 Harbours,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,,0.001980303,,,,
15,"215 Harbours, waterways, dams and other waterworks",21510 Harbours,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,,0.001870656,,,,
16,"211 Highways, Streets and Roads",2111 Highways,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,5.02783235,,,,,
17,"211 Highways, Streets and Roads",21120 Primary Road,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,21.23438421,,,,,
18,"211 Highways, Streets and Roads",21121 Secondary Road,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,27.68357789,,,,,
19,"211 Highways, Streets and Roads",21122 Local Road,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,167.2361907,,,,,
20,"211 Highways, Streets and Roads",21124 Cart Track,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,70.5308074,,,,,
21,212 Railways,2121 Long-distance railways,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,112.1030605,,,,,
22,"215 Harbours, waterways, dams and other waterworks",21510 Harbours,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,0.391663499,,,,,
23,"211 Highways, Streets and Roads",21120 Primary Road,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,0.391106332,,,,,
24,"211 Highways, Streets and Roads",21121 Secondary Road,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,0.665510678,,,,,
25,"211 Highways, Streets and Roads",21122 Local Road,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,1.591841147,,,,,
26,"211 Highways, Streets and Roads",21124 Cart Track,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,2.656008699,,,,,
27,212 Railways,2121 Long-distance railways,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,0.17341779,,,,,
28,"215 Harbours, waterways, dams and other waterworks",21510 Harbours,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,0.255474695,,,,,
29,"215 Harbours, waterways, dams and other waterworks",21512 Settling Basin,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,,5.265845671,,,,
30,23 Complex Constructions on Industrial Sites,2301 Constructions for mining or extraction,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,,62.41783929,,,,
31,23 Complex Constructions on Industrial Sites,2302 Power plant constructions,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,,0.009468127,,,,
32,24 Other Civil Engineering Works,241 Sport and recreation constructions,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,,22.34741512,,,,
33,24 Other Civil Engineering Works,242 Other civil engineering works not elsewhere classified,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,,4.898101636,,,,
34,23 Complex Constructions on Industrial Sites,2301 Constructions for mining or extraction,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,,0.021353977,,,,
35,24 Other Civil Engineering Works,241 Sport and recreation constructions,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,,1.862759379,,,,
36,"215 Harbours, waterways, dams and other waterworks",2152 Dams,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,0.117029458,,,,,
37,"22 Pipelines, Communication and Electricity Lines","221 Long-distance pipelines, communication and electricity lines",No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,27.20434702,,,,,
38,"22 Pipelines, Communication and Electricity Lines",222 Local pipelines and cables,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,27.42714417,,,,,
39,"22 Pipelines, Communication and Electricity Lines","221 Long-distance pipelines, communication and electricity lines",No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,1.668325083,,,,,
40,"22 Pipelines, Communication and Electricity Lines",222 Local pipelines and cables,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,2.765984087,,,,,
41,2 Agricultural Areas,21 Arable land,Not Affected,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,,26.89319157,,,,
42,2 Agricultural Areas,23 Pastures,Not Affected,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,,1009.461587,,,,
43,3 Forests and Semi-natural Areas,31 Forests,Not Affected,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,,862.7310318,,,,
44,3 Forests and Semi-natural Areas,32 Shrub and/or herbaceous vegetation association,Not Affected,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,,74.78086839,,,,
45,998 Other,998 Other,Not Affected,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,,1251.933199,,,,
46,2 Agricultural Areas,21 Arable land,Not Affected,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,,4.233691979,,,,
47,2 Agricultural Areas,23 Pastures,Not Affected,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,,103.5178423,,,,
48,3 Forests and Semi-natural Areas,31 Forests,Not Affected,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,,31.17207386,,,,
49,3 Forests and Semi-natural Areas,32 Shrub and/or herbaceous vegetation association,Not Affected,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,,19.69708629,,,,
50,998 Other,998 Other,Not Affected,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,,15.23083822,,,,
51,11 Residential Buildings,997 Not Applicable,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT01_summaryTable_v1.xlsx,,,,,,,,,,,1910.757065,,,,
52,12 Non-residential Buildings,122 Office buildings,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT01_summaryTable_v1.xlsx,,,,,,,,,,,123.1802242,,,,
53,12 Non-residential Buildings,123 Wholesale and retail trade buildings,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT01_summaryTable_v1.xlsx,,,,,,,,,,,24.33183355,,,,
54,12 Non-residential Buildings,1251 Industrial buildings,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT01_summaryTable_v1.xlsx,,,,,,,,,,,208.8158036,,,,
55,12 Non-residential Buildings,"1263 School, university and research buildings",No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT01_summaryTable_v1.xlsx,,,,,,,,,,,7.531843979,,,,
56,12 Non-residential Buildings,1280 Cemetery,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT01_summaryTable_v1.xlsx,,,,,,,,,,,5.221655321,,,,
57,11 Residential Buildings,997 Not Applicable,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT01_summaryTable_v1.xlsx,,,,,,,,,,,0.042353986,,,,
58,213 Airfield,2130 Airfield runways,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT01_summaryTable_v1.xlsx,,,,,,,,,,,2.411884107,,,,
59,"211 Highways, Streets and Roads",2111 Highways,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT01_summaryTable_v1.xlsx,,,,,,,,,,32.51005662,,,,,
60,"211 Highways, Streets and Roads",21120 Primary Road,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT01_summaryTable_v1.xlsx,,,,,,,,,,84.73559549,,,,,
61,"211 Highways, Streets and Roads",21121 Secondary Road,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT01_summaryTable_v1.xlsx,,,,,,,,,,96.40455821,,,,,
62,"211 Highways, Streets and Roads",21122 Local Road,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT01_summaryTable_v1.xlsx,,,,,,,,,,617.352263,,,,,
63,"211 Highways, Streets and Roads",21124 Cart Track,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT01_summaryTable_v1.xlsx,,,,,,,,,,241.4545824,,,,,
64,212 Railways,2121 Long-distance railways,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT01_summaryTable_v1.xlsx,,,,,,,,,,149.5447475,,,,,
65,"211 Highways, Streets and Roads",21121 Secondary Road,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT01_summaryTable_v1.xlsx,,,,,,,,,,0.252930984,,,,,
66,"211 Highways, Streets and Roads",21122 Local Road,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT01_summaryTable_v1.xlsx,,,,,,,,,,0.033047107,,,,,
67,"211 Highways, Streets and Roads",21124 Cart Track,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT01_summaryTable_v1.xlsx,,,,,,,,,,10.80225331,,,,,
68,212 Railways,2121 Long-distance railways,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT01_summaryTable_v1.xlsx,,,,,,,,,,0.861557119,,,,,
69,"215 Harbours, waterways, dams and other waterworks",21512 Settling Basin,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT01_summaryTable_v1.xlsx,,,,,,,,,,,14.45537265,,,,
70,23 Complex Constructions on Industrial Sites,2301 Constructions for mining or extraction,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT01_summaryTable_v1.xlsx,,,,,,,,,,,16.1922676,,,,
71,23 Complex Constructions on Industrial Sites,2302 Power plant constructions,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT01_summaryTable_v1.xlsx,,,,,,,,,,,12.96736245,,,,
72,24 Other Civil Engineering Works,241 Sport and recreation constructions,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT01_summaryTable_v1.xlsx,,,,,,,,,,,96.80143867,,,,
73,24 Other Civil Engineering Works,242 Other civil engineering works not elsewhere classified,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT01_summaryTable_v1.xlsx,,,,,,,,,,,31.42988384,,,,
74,24 Other Civil Engineering Works,241 Sport and recreation constructions,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT01_summaryTable_v1.xlsx,,,,,,,,,,,1.390247468,,,,
75,"215 Harbours, waterways, dams and other waterworks",2152 Dams,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT01_summaryTable_v1.xlsx,,,,,,,,,,0.52032769,,,,,
76,"22 Pipelines, Communication and Electricity Lines","221 Long-distance pipelines, communication and electricity lines",No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT01_summaryTable_v1.xlsx,,,,,,,,,,34.19149815,,,,,
77,"22 Pipelines, Communication and Electricity Lines",222 Local pipelines and cables,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT01_summaryTable_v1.xlsx,,,,,,,,,,61.98177758,,,,,
78,"22 Pipelines, Communication and Electricity Lines","221 Long-distance pipelines, communication and electricity lines",No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT01_summaryTable_v1.xlsx,,,,,,,,,,1.139866993,,,,,
79,"22 Pipelines, Communication and Electricity Lines",222 Local pipelines and cables,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT01_summaryTable_v1.xlsx,,,,,,,,,,4.751149358,,,,,
80,2 Agricultural Areas,21 Arable land,Not Affected,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT01_summaryTable_v1.xlsx,,,,,,,,,,,1393.166135,,,,
81,2 Agricultural Areas,23 Pastures,Not Affected,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT01_summaryTable_v1.xlsx,,,,,,,,,,,4623.864679,,,,
82,3 Forests and Semi-natural Areas,31 Forests,Not Affected,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT01_summaryTable_v1.xlsx,,,,,,,,,,,1532.932465,,,,
83,3 Forests and Semi-natural Areas,32 Shrub and/or herbaceous vegetation association,Not Affected,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT01_summaryTable_v1.xlsx,,,,,,,,,,,30.4180477,,,,
84,998 Other,998 Other,Not Affected,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT01_summaryTable_v1.xlsx,,,,,,,,,,,3915.960025,,,,
85,2 Agricultural Areas,21 Arable land,Not Affected,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT01_summaryTable_v1.xlsx,,,,,,,,,,,22.012857,,,,
86,2 Agricultural Areas,23 Pastures,Not Affected,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT01_summaryTable_v1.xlsx,,,,,,,,,,,479.0191509,,,,
87,3 Forests and Semi-natural Areas,31 Forests,Not Affected,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT01_summaryTable_v1.xlsx,,,,,,,,,,,7.165426414,,,,
88,3 Forests and Semi-natural Areas,32 Shrub and/or herbaceous vegetation association,Not Affected,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT01_summaryTable_v1.xlsx,,,,,,,,,,,11.19092804,,,,
89,998 Other,998 Other,Not Affected,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT01_summaryTable_v1.xlsx,,,,,,,,,,,1.697946348,,,,
90,11 Residential Buildings,997 Not Applicable,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT02_summaryTable_v1.xlsx,,,,,,,,,,,1910.757065,,,,
91,12 Non-residential Buildings,122 Office buildings,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT02_summaryTable_v1.xlsx,,,,,,,,,,,123.1802242,,,,
92,12 Non-residential Buildings,123 Wholesale and retail trade buildings,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT02_summaryTable_v1.xlsx,,,,,,,,,,,24.33183355,,,,
93,12 Non-residential Buildings,1251 Industrial buildings,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT02_summaryTable_v1.xlsx,,,,,,,,,,,208.8158036,,,,
94,12 Non-residential Buildings,"1263 School, university and research buildings",No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT02_summaryTable_v1.xlsx,,,,,,,,,,,7.531843979,,,,
95,12 Non-residential Buildings,1280 Cemetery,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT02_summaryTable_v1.xlsx,,,,,,,,,,,5.221655321,,,,
96,11 Residential Buildings,997 Not Applicable,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT02_summaryTable_v1.xlsx,,,,,,,,,,,0.255179978,,,,
97,213 Airfield,2130 Airfield runways,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT02_summaryTable_v1.xlsx,,,,,,,,,,,2.411884107,,,,
98,"211 Highways, Streets and Roads",2111 Highways,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT02_summaryTable_v1.xlsx,,,,,,,,,,32.51005662,,,,,
99,"211 Highways, Streets and Roads",21120 Primary Road,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT02_summaryTable_v1.xlsx,,,,,,,,,,84.73559549,,,,,
100,"211 Highways, Streets and Roads",21121 Secondary Road,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT02_summaryTable_v1.xlsx,,,,,,,,,,96.40455821,,,,,
101,"211 Highways, Streets and Roads",21122 Local Road,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT02_summaryTable_v1.xlsx,,,,,,,,,,617.352263,,,,,
102,"211 Highways, Streets and Roads",21124 Cart Track,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT02_summaryTable_v1.xlsx,,,,,,,,,,241.4545824,,,,,
103,212 Railways,2121 Long-distance railways,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT02_summaryTable_v1.xlsx,,,,,,,,,,149.5447475,,,,,
104,"211 Highways, Streets and Roads",2111 Highways,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT02_summaryTable_v1.xlsx,,,,,,,,,,0.002221477,,,,,
105,"211 Highways, Streets and Roads",21120 Primary Road,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT02_summaryTable_v1.xlsx,,,,,,,,,,0.000803433,,,,,
106,"211 Highways, Streets and Roads",21122 Local Road,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT02_summaryTable_v1.xlsx,,,,,,,,,,0.046312152,,,,,
107,"211 Highways, Streets and Roads",21124 Cart Track,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT02_summaryTable_v1.xlsx,,,,,,,,,,0.724965458,,,,,
108,"215 Harbours, waterways, dams and other waterworks",21512 Settling Basin,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT02_summaryTable_v1.xlsx,,,,,,,,,,,14.45537265,,,,
109,23 Complex Constructions on Industrial Sites,2301 Constructions for mining or extraction,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT02_summaryTable_v1.xlsx,,,,,,,,,,,16.1922676,,,,
110,23 Complex Constructions on Industrial Sites,2302 Power plant constructions,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT02_summaryTable_v1.xlsx,,,,,,,,,,,12.96736245,,,,
111,24 Other Civil Engineering Works,241 Sport and recreation constructions,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT02_summaryTable_v1.xlsx,,,,,,,,,,,96.80143867,,,,
112,24 Other Civil Engineering Works,242 Other civil engineering works not elsewhere classified,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT02_summaryTable_v1.xlsx,,,,,,,,,,,31.42988384,,,,
113,24 Other Civil Engineering Works,241 Sport and recreation constructions,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT02_summaryTable_v1.xlsx,,,,,,,,,,,0.316891239,,,,
114,"215 Harbours, waterways, dams and other waterworks",2152 Dams,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT02_summaryTable_v1.xlsx,,,,,,,,,,0.52032769,,,,,
115,"22 Pipelines, Communication and Electricity Lines","221 Long-distance pipelines, communication and electricity lines",No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT02_summaryTable_v1.xlsx,,,,,,,,,,34.19149815,,,,,
116,"22 Pipelines, Communication and Electricity Lines",222 Local pipelines and cables,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT02_summaryTable_v1.xlsx,,,,,,,,,,61.98177758,,,,,
117,"22 Pipelines, Communication and Electricity Lines","221 Long-distance pipelines, communication and electricity lines",No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT02_summaryTable_v1.xlsx,,,,,,,,,,0.253887093,,,,,
118,"22 Pipelines, Communication and Electricity Lines",222 Local pipelines and cables,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT02_summaryTable_v1.xlsx,,,,,,,,,,0.209726264,,,,,
119,2 Agricultural Areas,21 Arable land,Not Affected,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT02_summaryTable_v1.xlsx,,,,,,,,,,,1393.166135,,,,
120,2 Agricultural Areas,23 Pastures,Not Affected,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT02_summaryTable_v1.xlsx,,,,,,,,,,,4623.864679,,,,
121,3 Forests and Semi-natural Areas,31 Forests,Not Affected,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT02_summaryTable_v1.xlsx,,,,,,,,,,,1532.932465,,,,
122,3 Forests and Semi-natural Areas,32 Shrub and/or herbaceous vegetation association,Not Affected,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT02_summaryTable_v1.xlsx,,,,,,,,,,,30.4180477,,,,
123,998 Other,998 Other,Not Affected,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT02_summaryTable_v1.xlsx,,,,,,,,,,,3915.960025,,,,
124,2 Agricultural Areas,21 Arable land,Not Affected,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT02_summaryTable_v1.xlsx,,,,,,,,,,,0.847193354,,,,
125,2 Agricultural Areas,23 Pastures,Not Affected,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT02_summaryTable_v1.xlsx,,,,,,,,,,,59.11564194,,,,
126,3 Forests and Semi-natural Areas,31 Forests,Not Affected,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT02_summaryTable_v1.xlsx,,,,,,,,,,,2.268873408,,,,
127,998 Other,998 Other,Not Affected,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT02_summaryTable_v1.xlsx,,,,,,,,,,,0.476706233,,,,
128,12 Non-residential Buildings,122 Office buildings,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT03_summaryTable_v1.xlsx,,,,,,,,,,,123.1802242,,,,
129,12 Non-residential Buildings,123 Wholesale and retail trade buildings,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT03_summaryTable_v1.xlsx,,,,,,,,,,,24.33183355,,,,
130,12 Non-residential Buildings,1251 Industrial buildings,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT03_summaryTable_v1.xlsx,,,,,,,,,,,208.8158036,,,,
131,12 Non-residential Buildings,"1263 School, university and research buildings",No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT03_summaryTable_v1.xlsx,,,,,,,,,,,7.531843979,,,,
132,12 Non-residential Buildings,1280 Cemetery,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT03_summaryTable_v1.xlsx,,,,,,,,,,,5.221655321,,,,
133,11 Residential Buildings,997 Not Applicable,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT03_summaryTable_v1.xlsx,,,,,,,,,,,1910.757065,,,,
134,12 Non-residential Buildings,1251 Industrial buildings,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT03_summaryTable_v1.xlsx,,,,,,,,,,,0.004387448,,,,
135,11 Residential Buildings,997 Not Applicable,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT03_summaryTable_v1.xlsx,,,,,,,,,,,0.001409564,,,,
136,213 Airfield,2130 Airfield runways,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT03_summaryTable_v1.xlsx,,,,,,,,,,,2.411884107,,,,
137,"211 Highways, Streets and Roads",2111 Highways,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT03_summaryTable_v1.xlsx,,,,,,,,,,32.51005662,,,,,
138,"211 Highways, Streets and Roads",21120 Primary Road,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT03_summaryTable_v1.xlsx,,,,,,,,,,84.73559549,,,,,
139,"211 Highways, Streets and Roads",21121 Secondary Road,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT03_summaryTable_v1.xlsx,,,,,,,,,,96.40455821,,,,,
140,"211 Highways, Streets and Roads",21122 Local Road,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT03_summaryTable_v1.xlsx,,,,,,,,,,617.352263,,,,,
141,"211 Highways, Streets and Roads",21124 Cart Track,No visible damage,5/17/2024,Germany,EMSR722_AOI01_DEL_MONIT03_summaryTable_v1.xlsx,,,,,,,,,,241.4545824,,,,,
